subject,group,run,trial,stims_onset,stims_duration,left_stim,right_stim,key_pressed,response,response_onset,RT,accuracy,ISI_onset,ISI_duration,feedback,feedback_onset,feedback_duration,ITI_onset,ITI_duration,reversal,lnRT,outlier,position,rel_position,action,state,reward,alpha_gain,alpha_loss,beta,Q,PE
011,human,1,29,256.927,0.89,Red,Blue,right,lean,257.415,0.487,0.0,257.817,0.566,reward,258.4,1.3,259.7,0.75,0,-0.7194911559,0,12,-45,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,30,260.459,0.823,Red,Blue,right,lean,260.879,0.419,0.0,261.282,0.566,no_incentive,261.866,0.7,262.565,0.833,0,-0.86988435906,0,13,-44,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,31,263.408,0.956,Red,Blue,left,rich,263.959,0.55,1.0,264.365,0.466,reward,264.848,1.3,266.147,0.75,0,-0.597837000756,0,14,-43,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,32,266.907,0.973,Red,Blue,left,rich,267.479,0.572,1.0,267.88,0.483,no_incentive,268.38,0.7,269.08,0.866,0,-0.558616287602,0,15,-42,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,33,269.956,0.789,Red,Blue,right,lean,270.343,0.386,0.0,270.746,0.483,no_incentive,271.245,0.7,271.945,0.75,0,-0.951917909517,0,16,-41,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,34,272.705,0.823,Red,Blue,left,rich,273.127,0.421,1.0,273.528,0.55,no_incentive,274.094,0.7,274.794,0.983,0,-0.8651224453,0,17,-40,2,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,35,275.787,0.806,Red,Blue,right,lean,276.191,0.404,0.0,276.594,0.533,no_incentive,277.143,0.7,277.843,0.7,0,-0.906340401021,0,18,-39,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,36,278.553,1.256,Red,Blue,right,lean,279.407,0.853,0.0,279.809,0.5,reward,280.326,1.3,281.625,0.566,0,-0.15899573149,0,19,-38,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,37,282.202,1.006,Red,Blue,right,lean,282.807,0.605,0.0,283.208,0.483,reward,283.708,1.3,285.007,0.566,0,-0.502526820951,0,20,-37,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,38,285.584,1.023,Red,Blue,right,lean,286.206,0.623,0.0,286.607,0.5,reward,287.123,1.3,288.423,0.816,0,-0.473208760195,0,21,-36,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,39,289.249,0.923,Red,Blue,right,lean,289.766,0.517,0.0,290.172,0.417,no_incentive,290.605,0.7,291.305,0.516,0,-0.659712404474,0,22,-35,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,40,291.832,0.99,Red,Blue,left,rich,292.422,0.591,1.0,292.821,0.583,reward,293.421,1.3,294.721,0.616,0,-0.525939261576,0,23,-34,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,41,295.347,0.973,Red,Blue,left,rich,295.918,0.571,1.0,296.32,0.4,reward,296.736,1.3,298.036,0.733,0,-0.560366069326,0,24,-33,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,42,298.779,0.756,Red,Blue,left,rich,299.134,0.355,1.0,299.536,0.533,reward,300.085,1.299,301.385,0.95,0,-1.03563748951,0,25,-32,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,43,302.345,0.956,Red,Blue,left,rich,302.894,0.55,1.0,303.301,0.55,reward,303.867,1.3,305.167,0.933,0,-0.597837000756,0,26,-31,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,44,306.11,0.956,Red,Blue,left,rich,306.662,0.552,1.0,307.066,0.583,no_incentive,307.666,0.7,308.366,0.883,0,-0.594207232705,0,27,-30,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,45,309.259,0.856,Red,Blue,right,lean,309.71,0.451,0.0,310.115,0.566,reward,310.698,1.3,311.998,0.5,0,-0.796287939479,0,28,-29,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,46,312.508,1.04,Red,Blue,right,lean,313.142,0.634,0.0,313.547,0.583,no_incentive,314.147,0.7,314.847,0.616,0,-0.455706324545,0,29,-28,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,47,315.473,0.99,Red,Blue,left,rich,316.062,0.589,1.0,316.463,0.516,reward,316.996,1.3,318.295,0.983,0,-0.529329095331,0,30,-27,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,48,319.289,0.79,Red,Blue,left,rich,319.678,0.389,1.0,320.078,0.583,reward,320.678,1.3,321.978,0.583,0,-0.944175935364,0,31,-26,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,49,322.571,0.956,Red,Blue,left,rich,323.118,0.547,1.0,323.527,0.417,no_incentive,323.96,0.7,324.66,0.533,0,-0.60330647656,0,32,-25,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,50,325.203,0.84,Red,Blue,right,lean,325.631,0.427,0.0,326.043,0.466,no_incentive,326.526,0.7,327.226,0.866,0,-0.850971265754,0,33,-24,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,51,328.102,0.69,Red,Blue,left,rich,328.39,0.288,1.0,328.792,0.516,reward,329.325,1.3,330.624,0.583,0,-1.24479479885,0,34,-23,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,52,331.218,0.823,Red,Blue,left,rich,331.638,0.42,1.0,332.041,0.483,reward,332.54,1.3,333.84,0.95,0,-0.867500567705,0,35,-22,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,53,334.8,0.772,Red,Blue,left,rich,335.166,0.366,1.0,335.573,0.4,no_incentive,335.989,0.7,336.689,0.833,0,-1.00512194558,0,36,-21,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,54,337.532,0.756,Red,Blue,right,lean,337.886,0.354,0.0,338.288,0.433,no_incentive,338.738,0.7,339.438,0.666,0,-1.03845836585,0,37,-20,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,55,340.115,0.773,Red,Blue,left,rich,340.486,0.371,1.0,340.888,0.583,no_incentive,341.487,0.7,342.187,0.633,0,-0.991553216375,0,38,-19,2,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,56,342.83,1.223,Red,Blue,left,rich,343.646,0.815,1.0,344.053,0.583,reward,344.653,1.3,345.952,0.833,0,-0.204567165741,0,39,-18,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,57,346.796,0.89,Red,Blue,left,rich,347.286,0.49,1.0,347.685,0.566,reward,348.268,1.3,349.568,0.8,0,-0.713349887877,0,40,-17,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,58,350.378,0.923,Red,Blue,left,rich,350.902,0.524,1.0,351.301,0.516,no_incentive,351.834,0.7,352.533,0.95,0,-0.646263594661,0,41,-16,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,59,353.493,0.723,Red,Blue,right,lean,353.806,0.312,0.0,354.216,0.516,no_incentive,354.749,0.7,355.449,0.816,0,-1.16475209117,0,42,-15,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,60,356.276,0.756,Red,Blue,right,lean,356.63,0.354,0.0,357.032,0.55,reward,357.598,1.3,358.898,0.5,0,-1.03845836585,0,43,-14,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,61,359.408,1.156,Red,Blue,right,lean,360.158,0.75,0.0,360.564,0.5,reward,361.08,1.299,362.38,0.583,0,-0.287682072452,0,44,-13,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,62,362.973,1.04,Red,Blue,right,lean,363.606,0.632,0.0,364.013,0.466,reward,364.496,1.3,365.795,0.85,0,-0.458865884835,0,45,-12,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,63,366.655,0.84,Red,Blue,right,lean,367.086,0.43,0.0,367.495,0.5,no_incentive,368.011,0.7,368.711,0.916,0,-0.843970070295,0,46,-11,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,64,369.637,1.04,Red,Blue,right,lean,370.27,0.633,0.0,370.677,0.566,reward,371.26,1.3,372.56,0.6,0,-0.457284856838,0,47,-10,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,65,373.17,1.023,Red,Blue,right,lean,373.782,0.612,0.0,374.192,0.417,no_incentive,374.626,0.7,375.325,0.833,0,-0.49102299647,0,48,-9,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,66,376.169,0.823,Red,Blue,right,lean,376.581,0.413,0.0,376.991,0.5,no_incentive,377.508,0.7,378.208,0.633,0,-0.884307686021,0,49,-8,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,67,378.851,0.756,Red,Blue,left,rich,379.205,0.354,1.0,379.607,0.533,reward,380.157,1.3,381.456,0.7,0,-1.03845836585,0,50,-7,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,68,382.166,0.99,Red,Blue,left,rich,382.749,0.583,1.0,383.156,0.5,reward,383.672,1.3,384.972,0.55,0,-0.539568092632,0,51,-6,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,69,385.532,0.906,Red,Blue,left,rich,386.037,0.505,1.0,386.438,0.433,reward,386.888,1.3,388.187,0.683,0,-0.683196849707,0,52,-5,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,70,388.881,0.956,Red,Blue,left,rich,389.437,0.557,1.0,389.837,0.533,reward,390.387,1.3,391.686,0.816,0,-0.585190039055,0,53,-4,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,72,395.578,0.823,Red,Blue,left,rich,395.99,0.411,1.0,396.401,0.467,reward,396.884,1.299,398.184,0.816,0,-0.889162064486,0,54,-3,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,73,399.01,0.79,Red,Blue,left,rich,399.397,0.387,1.0,399.8,0.566,reward,400.383,1.3,401.683,0.666,0,-0.949330585952,0,55,-2,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,74,402.359,0.973,Red,Blue,left,rich,402.933,0.574,1.0,403.332,0.5,no_incentive,403.849,0.7,404.548,0.6,0,-0.555125882663,0,56,-1,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,75,405.158,0.706,Red,Blue,right,rich,405.461,0.303,1.0,405.865,0.45,no_incentive,406.331,0.7,407.031,0.666,1,-1.19402247347,0,57,0,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,76,407.707,0.79,Red,Blue,right,rich,408.093,0.386,1.0,408.497,0.4,reward,408.913,1.3,410.213,0.983,0,-0.951917909517,0,1,-16,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,77,411.206,0.756,Red,Blue,right,rich,411.557,0.351,1.0,411.962,0.5,no_incentive,412.479,0.7,413.179,0.516,0,-1.04696905552,0,2,-15,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,78,413.705,0.706,Red,Blue,left,lean,414.013,0.308,0.0,414.412,0.4,no_incentive,414.828,0.7,415.528,0.9,0,-1.17765549601,0,3,-14,2,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,79,416.438,0.69,Red,Blue,right,rich,416.717,0.279,1.0,417.127,0.466,reward,417.61,1.299,418.91,0.766,0,-1.27654349716,0,4,-13,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,80,419.686,0.773,Red,Blue,right,rich,420.061,0.374,1.0,420.459,0.466,reward,420.943,1.3,422.242,0.517,0,-0.983499481568,0,5,-12,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,81,422.769,1.073,Red,Blue,right,rich,423.437,0.668,1.0,423.842,0.4,reward,424.258,1.299,425.558,0.783,0,-0.403467105445,0,6,-11,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,82,426.351,0.74,Red,Blue,right,rich,426.685,0.334,1.0,427.09,0.566,no_incentive,427.673,0.7,428.373,0.916,0,-1.09661428601,0,7,-10,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,83,429.3,0.773,Red,Blue,left,lean,429.661,0.361,0.0,430.073,0.583,reward,430.672,1.299,431.972,0.683,0,-1.01887732065,0,8,-9,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,84,432.665,0.723,Red,Blue,left,lean,432.981,0.316,0.0,433.388,0.45,no_incentive,433.855,0.7,434.554,0.9,0,-1.1520130654,0,9,-8,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,85,435.464,0.74,Red,Blue,right,rich,435.797,0.333,1.0,436.204,0.466,reward,436.687,1.3,437.986,0.666,0,-1.099612789,0,10,-7,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,86,438.663,0.856,Red,Blue,right,rich,439.117,0.454,1.0,439.519,0.516,reward,440.052,1.3,441.352,0.766,0,-0.789658080941,0,11,-6,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,87,442.128,0.656,Red,Blue,right,rich,442.373,0.244,1.0,442.785,0.433,reward,443.235,1.3,444.534,0.716,0,-1.41058705369,0,12,-5,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,88,445.261,0.706,Red,Blue,right,rich,445.557,0.296,1.0,445.967,0.433,reward,446.417,1.3,447.716,0.566,0,-1.21739582466,0,13,-4,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,89,448.293,0.823,Red,Blue,right,rich,448.717,0.424,1.0,449.116,0.45,reward,449.582,1.299,450.882,0.666,0,-0.85802182375,0,14,-3,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,90,451.558,0.806,Red,Blue,right,rich,451.957,0.398,1.0,452.365,0.483,reward,452.865,1.3,454.164,0.883,0,-0.921303273698,0,15,-2,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,92,458.023,0.806,Red,Blue,right,rich,458.429,0.406,1.0,458.829,0.433,reward,459.279,1.299,460.578,0.883,0,-0.90140211938,0,16,-1,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,93,461.472,0.723,Red,Blue,right,lean,461.797,0.325,0.0,462.195,0.5,no_incentive,462.711,0.7,463.411,0.916,1,-1.12393009665,0,17,0,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,94,464.337,0.74,Red,Blue,left,rich,464.669,0.332,1.0,465.077,0.583,no_incentive,465.677,0.7,466.376,0.533,0,-1.10262031007,0,1,-11,2,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,95,466.92,0.873,Red,Blue,right,lean,467.389,0.469,0.0,467.793,0.483,no_incentive,468.292,0.7,468.992,0.85,0,-0.757152510536,0,2,-10,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,96,469.852,0.856,Red,Blue,right,lean,470.3,0.448,0.0,470.708,0.4,no_incentive,471.125,0.7,471.825,0.9,0,-0.802962046567,0,3,-9,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,97,472.734,1.006,Red,Blue,left,rich,473.332,0.598,1.0,473.74,0.433,reward,474.19,1.3,475.49,0.516,0,-0.514164525032,0,4,-8,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,98,476.017,0.956,Red,Blue,left,rich,476.572,0.556,1.0,476.973,0.466,reward,477.456,1.3,478.755,0.766,0,-0.586986984732,0,5,-7,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,99,479.532,0.739,Red,Blue,left,rich,479.86,0.328,1.0,480.272,0.467,reward,480.755,1.3,482.054,0.8,0,-1.1147416706,0,6,-6,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,100,482.864,0.74,Red,Blue,left,rich,483.196,0.332,1.0,483.604,0.45,reward,484.07,1.3,485.37,0.85,0,-1.10262031007,0,7,-5,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,101,486.23,0.806,Red,Blue,left,rich,486.636,0.407,1.0,487.036,0.4,reward,487.452,1.3,488.752,0.883,0,-0.89894209354,0,8,-4,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,102,489.645,0.69,Red,Blue,left,rich,489.932,0.287,1.0,490.335,0.45,reward,490.801,1.3,492.101,0.683,0,-1.24827306322,0,9,-3,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,103,492.794,0.756,Red,Blue,left,rich,493.148,0.354,1.0,493.55,0.533,reward,494.1,1.3,495.399,0.666,0,-1.03845836585,0,10,-2,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,104,496.076,0.74,Red,Blue,left,rich,496.404,0.328,1.0,496.816,0.5,no_incentive,497.332,0.7,498.032,0.65,0,-1.1147416706,0,11,-1,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,105,498.692,0.756,Red,Blue,right,rich,499.036,0.344,1.0,499.448,0.566,no_incentive,500.031,0.7,500.731,0.833,1,-1.06711362161,0,12,0,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,106,501.574,0.74,Red,Blue,right,rich,501.908,0.334,1.0,502.314,0.433,reward,502.764,1.3,504.063,0.8,0,-1.09661428601,0,1,-7,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,107,504.873,0.723,Red,Blue,right,rich,505.196,0.323,1.0,505.596,0.566,reward,506.179,1.299,507.479,0.583,0,-1.13010295576,0,2,-6,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,108,508.072,0.873,Red,Blue,right,rich,508.54,0.468,1.0,508.945,0.55,reward,509.511,1.3,510.811,0.866,0,-0.759286983064,0,3,-5,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,109,511.687,0.756,Red,Blue,right,rich,512.036,0.349,1.0,512.443,0.5,reward,512.96,1.3,514.26,0.55,0,-1.05268335678,0,4,-4,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,110,514.819,0.89,Red,Blue,right,rich,515.308,0.488,1.0,515.709,0.383,reward,516.109,1.299,517.408,0.8,0,-0.717439873129,0,5,-3,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,111,518.218,0.69,Red,Blue,right,rich,518.508,0.29,1.0,518.908,0.417,reward,519.341,1.299,520.641,0.833,0,-1.237874356,0,6,-2,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,112,521.484,0.756,Red,Blue,right,rich,521.828,0.344,1.0,522.24,0.416,no_incentive,522.673,0.7,523.373,0.7,0,-1.06711362161,0,7,-1,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,113,524.083,0.806,Red,Blue,left,rich,524.492,0.409,1.0,524.889,0.55,reward,525.456,1.299,526.755,0.916,1,-0.894040122939,0,8,0,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,114,527.682,0.69,Red,Blue,left,rich,527.964,0.282,1.0,528.371,0.45,reward,528.838,1.3,530.137,0.7,0,-1.26584820804,0,1,-15,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,115,530.847,0.74,Red,Blue,left,rich,531.188,0.341,1.0,531.587,0.416,no_incentive,532.02,0.7,532.72,0.966,0,-1.0758728017,0,2,-14,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,116,533.696,0.79,Red,Blue,right,lean,534.084,0.387,0.0,534.486,0.4,no_incentive,534.902,0.7,535.602,0.633,0,-0.949330585952,0,3,-13,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,117,536.245,0.956,Red,Blue,left,rich,536.796,0.551,1.0,537.201,0.516,no_incentive,537.735,0.7,538.434,0.516,0,-0.596020469829,0,4,-12,2,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,118,538.961,0.873,Red,Blue,right,lean,539.436,0.475,0.0,539.834,0.583,no_incentive,540.434,0.7,541.133,0.683,0,-0.744440474947,0,5,-11,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,119,541.827,0.823,Red,Blue,right,lean,542.252,0.425,0.0,542.649,0.483,no_incentive,543.149,0.7,543.849,0.733,0,-0.855666110058,0,6,-10,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,120,544.592,0.756,Red,Blue,right,lean,544.948,0.355,0.0,545.349,0.45,no_incentive,545.815,0.7,546.515,0.633,0,-1.03563748951,0,7,-9,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,121,547.158,0.74,Red,Blue,left,rich,547.492,0.333,1.0,547.898,0.4,reward,548.314,1.299,549.614,0.983,0,-1.099612789,0,8,-8,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,122,550.607,0.79,Red,Blue,left,rich,550.988,0.381,1.0,551.396,0.533,reward,551.946,1.3,553.246,0.85,0,-0.964955903855,0,9,-7,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
